"CAS_n","Check?","ChemNames","SMILES"
"67292-34-6","NO","[1,1'-Bis(diphenylphosphino)ferrocene]dichloronickel(II), 97%","C1=CC=C(C=C1)P(C2=CC=CC=C2)[C]3[CH][CH][CH][CH]3.C1=CC=C(C=C1)P(C2=CC=CC=C2)[C]3[CH][CH][CH][CH]3.Cl[Ni]Cl.[Fe]"
"594-09-2","NO","Trimethylphosphine","CP(C)C"
"1962167-57-2","YES",NA,NA
"4411-80-7","NO","6,6'-Dimethyl-2,2'-bipyridine","CC1=NC(=CC=C1)C2=CC=CC(=N2)C"
"1134-35-6","NO","4,4'-Dimethyl-2,2'-bipyridine","CC1=CC(=NC=C1)C2=NC=CC(=C2)C"
"312696-09-6","NO","Nickel(II) bromide 2-methoxyethyl ether complex","COCCOCCOC.[Ni](Br)Br"
"2640505-89-9","YES","Dibromobis(t-Bu pyridine)nickel","CC(C)(C)C1=CC=NC=C1.CC(C)(C)C1=CC=NC=C1.[Ni](Br)Br"
"111-78-4","NO","1,5-Cyclooctadiene","C1CC=CCCC=C1"
"19999-87-2","YES","Bis(tricyclohexylphosphine)nickel(II) chloride","C1CCC(CC1)P(C2CCCCC2)C3CCCCC3.C1CCC(CC1)P(C2CCCCC2)C3CCCCC3.Cl[Ni]Cl"
"2248551-72-4","YES",NA,NA
"2378151-65-4","YES",NA,NA
"7647-10-1","NO","Palladium(II) chloride","Cl[Pd]Cl"
"680624-03-7","YES",NA,NA
"1762-34-1","NO","Abametapir","CC1=CN=C(C=C1)C2=NC=C(C=C2)C"
"1191-15-7","NO","Aluminum, hydrobis(2-methylpropyl)-","CC(C)C[Al]CC(C)C"
"55659-60-4","YES",NA,NA
"51320-65-1","YES",NA,NA
"111-66-0","NO","1-Octene","CCCCCCC=C"
"2152657-54-8","YES",NA,NA
"1538-75-6","NO","Trimethylacetic anhydride","CC(C)(C)C(=O)OC(=O)C(C)(C)C"
"14076-99-4","YES","(Nicl2(PY)4","C1=CC=NC=C1.C1=CC=NC=C1.C1=CC=NC=C1.C1=CC=NC=C1.Cl[Ni]Cl"
"1122-58-3","NO","4-Dimethylaminopyridine","CN(C)C1=CC=NC=C1"
"2304362-17-0","YES",NA,NA
"1662-01-7","NO","4,7-Diphenyl-1,10-phenanthroline","C1=CC=C(C=C1)C2=C3C=CC4=C(C=CN=C4C3=NC=C2)C5=CC=CC=C5"
"584-08-7","NO","Potassium Carbonate","C(=O)([O-])[O-].[K+].[K+]"
"65-85-0","NO","Benzoic Acid","C1=CC=C(C=C1)C(=O)O"
"2092571-49-6","YES",NA,NA
"998-40-3","NO","Tributylphosphine","CCCCP(CCCC)CCCC"
"854737-21-6","YES",NA,NA
"14264-16-5","YES","Triphenylphosphine","C1=CC=C(C=C1)P(C2=CC=CC=C2)C3=CC=CC=C3"
"131864-67-0","NO","(R,R)-2,6-Bis(4-isopropyl-2-oxazolin-2-yl)pyridine","CC(C)C1COC(=N1)C2=NC(=CC=C2)C3=NC(CO3)C(C)C"
"366-18-7","NO","2,2'-Bipyridine","C1=CC=NC(=C1)C2=CC=CC=N2"
"383863-73-8","YES",NA,NA
"219584-52-8","YES",NA,NA
