,IncNodePurity,Features
RCTA_Chi2v,93.6054114132769,RCTA_Chi2v
RCTB_186,93.2278306159723,RCTB_186
RCTA_MinAbsEStateIndex,93.1059101095533,RCTA_MinAbsEStateIndex
CAT_126,92.8370430700273,CAT_126
CAT_45,92.7389988075413,CAT_45
PRO_227,92.7199623255327,PRO_227
CAT_fr_ketone,92.6820024976758,CAT_fr_ketone
PRO_61,92.0651274790506,PRO_61
RCTA_MaxPartialCharge,91.5942640780051,RCTA_MaxPartialCharge
RCTB_fr_benzene,91.5005717024916,RCTB_fr_benzene
CAT_252,91.4900779724183,CAT_252
RCTA_SlogP_VSA5,91.4557955818809,RCTA_SlogP_VSA5
RCTA_Chi4n,91.0722062593897,RCTA_Chi4n
ADD..B...CC..CC.CC..Na..,90.6577505392654,ADD..B...CC..CC.CC..Na..
SOL.CC1.CC.CC.C1.C1CCOC1,90.3783258460367,SOL.CC1.CC.CC.C1.C1CCOC1
RCTA_Chi3v,90.2024976633858,RCTA_Chi3v
RCTA_MaxAbsEStateIndex,90.1758942778663,RCTA_MaxAbsEStateIndex
PRO_225,90.1045197117471,PRO_225
CAT_26,90.0248356963341,CAT_26
CAT_136,89.7337031323535,CAT_136
PRO_186,89.4960018052552,PRO_186
RCTA_BCUT2D_MWLOW,89.0915668716904,RCTA_BCUT2D_MWLOW
RCTB_138,89.0819477001915,RCTB_138
RCTB_64,89.0613818624942,RCTB_64
PRO_NumAromaticRings,89.0419029294793,PRO_NumAromaticRings
CAT_51,89.0098101858548,CAT_51
PRO_56,88.9201972174278,PRO_56
CAT_172,88.8402622611256,CAT_172
RCTB_107,88.1101789865501,RCTB_107
RCTA_Chi0,88.0607467855528,RCTA_Chi0
CAT_214,87.9651948299109,CAT_214
RCTA_PEOE_VSA8,87.7293459340342,RCTA_PEOE_VSA8
CAT_79,87.6541057919039,CAT_79
RCTB_125,87.4272187946294,RCTB_125
PRO_NumAromaticCarbocycles,87.3352377804016,PRO_NumAromaticCarbocycles
RCTB_133,85.9686086292813,RCTB_133
